YEAR,TAXON,STATUS,COUNT,PROVINCE
2012,Lichens,THREATENED,3,BC
2019,Arthropods,EXTINCT,21,ON
2016,Fishes,THREATENED,49,NT
2018,Arthropods,SPECIAL CONCERN,20,AB
2015,Birds,ENDANGERED,41,AB
2012,Arthropods,EXTINCT,32,NS
2012,Arthropods,EXTINCT,1,BC
2016,Lichens,THREATENED,14,MB
2010,Amphibians,ENDANGERED,18,NU
2013,Mosses,THREATENED,41,BC
2015,Mammals,ENDANGERED,33,ON
2010,Reptiles,EXTIRPATED,28,MB
2017,Amphibians,THREATENED,47,YT
2013,Vascular Plants,THREATENED,4,YT
2015,Mammals,SPECIAL CONCERN,26,NS
2016,Reptiles,EXTIRPATED,9,NL
2010,Arthropods,EXTINCT,30,SK
2011,Fishes,ENDANGERED,48,ON
2016,Vascular Plants,SPECIAL CONCERN,8,NS
2019,Molluscs,THREATENED,36,SK
2010,Fishes,SPECIAL CONCERN,3,NT
2010,Mosses,EXTIRPATED,14,NS
2014,Arthropods,EXTIRPATED,16,PE
2012,Vascular Plants,ENDANGERED,46,NL
2011,Reptiles,THREATENED,20,PE
2014,Amphibians,EXTIRPATED,11,NB
2019,Mosses,EXTINCT,45,BC
2019,Fishes,EXTINCT,36,AB
2015,Reptiles,EXTIRPATED,43,QC
2014,Amphibians,THREATENED,33,NL
2014,Mosses,EXTINCT,45,NT
2017,Mosses,EXTIRPATED,43,PE
2010,Fishes,SPECIAL CONCERN,33,NL
2017,Lichens,ENDANGERED,17,AB
2018,Vascular Plants,SPECIAL CONCERN,49,AB
2019,Birds,EXTINCT,27,YT
2018,Lichens,ENDANGERED,9,NS
2017,Amphibians,EXTINCT,21,NU
2015,Molluscs,EXTINCT,9,NL
2012,Fishes,SPECIAL CONCERN,21,SK
2018,Fishes,EXTIRPATED,29,BC
2011,Amphibians,SPECIAL CONCERN,7,YT
2018,Amphibians,EXTINCT,28,MB
2014,Reptiles,ENDANGERED,43,NS
2016,Lichens,SPECIAL CONCERN,25,NB
2015,Fishes,EXTIRPATED,29,ON
2014,Vascular Plants,SPECIAL CONCERN,20,NU
2010,Birds,SPECIAL CONCERN,37,NL
2017,Lichens,SPECIAL CONCERN,8,SK
2018,Molluscs,THREATENED,31,NB
2011,Mosses,SPECIAL CONCERN,9,NT
2010,Arthropods,ENDANGERED,49,SK
2013,Fishes,EXTINCT,32,PE
2017,Lichens,EXTINCT,38,NU
2013,Lichens,EXTIRPATED,28,QC
2018,Lichens,ENDANGERED,5,NB
2015,Lichens,EXTIRPATED,21,PE
2016,Arthropods,EXTIRPATED,13,SK
2017,Fishes,SPECIAL CONCERN,47,NU
2017,Arthropods,THREATENED,46,NB
2016,Amphibians,EXTIRPATED,7,QC
2018,Arthropods,SPECIAL CONCERN,17,MB
2013,Vascular Plants,EXTIRPATED,10,SK
2019,Fishes,ENDANGERED,24,AB
2017,Mammals,SPECIAL CONCERN,45,YT
2017,Birds,EXTIRPATED,44,BC
2015,Birds,ENDANGERED,27,ON
2017,Amphibians,SPECIAL CONCERN,41,PE
2018,Fishes,SPECIAL CONCERN,36,NB
2016,Amphibians,THREATENED,10,SK
2014,Reptiles,ENDANGERED,31,YT
2015,Fishes,SPECIAL CONCERN,28,SK
2015,Arthropods,EXTINCT,3,AB
2011,Reptiles,SPECIAL CONCERN,20,NU
2013,Reptiles,ENDANGERED,46,NT
2012,Mammals,EXTIRPATED,39,NU
2013,Amphibians,THREATENED,38,SK
2016,Vascular Plants,ENDANGERED,45,YT
2014,Mammals,EXTINCT,35,AB
2018,Arthropods,EXTIRPATED,7,ON
2019,Reptiles,THREATENED,8,NU
2013,Mammals,ENDANGERED,2,NL
2016,Arthropods,EXTIRPATED,23,NU
2019,Arthropods,SPECIAL CONCERN,46,QC
2017,Vascular Plants,EXTIRPATED,18,BC
2018,Reptiles,EXTIRPATED,29,NB
2012,Amphibians,SPECIAL CONCERN,31,PE
2018,Molluscs,ENDANGERED,41,MB
2011,Molluscs,EXTIRPATED,50,QC
2019,Vascular Plants,SPECIAL CONCERN,2,NB
2014,Molluscs,THREATENED,43,QC
2013,Molluscs,EXTIRPATED,12,NT
2010,Birds,EXTINCT,7,SK
2012,Arthropods,ENDANGERED,18,AB
2016,Vascular Plants,ENDANGERED,15,NU
2017,Lichens,ENDANGERED,34,NU
2017,Birds,EXTIRPATED,5,PE
2010,Molluscs,ENDANGERED,23,NS
2012,Molluscs,EXTINCT,41,NB
2013,Lichens,ENDANGERED,34,NU
2019,Reptiles,ENDANGERED,21,ON
2016,Fishes,SPECIAL CONCERN,34,MB
2012,Vascular Plants,THREATENED,49,MB
2013,Vascular Plants,EXTINCT,22,NT
2010,Vascular Plants,THREATENED,14,QC
2014,Molluscs,SPECIAL CONCERN,21,NU
2014,Lichens,EXTIRPATED,11,SK
2016,Amphibians,ENDANGERED,42,NB
2011,Molluscs,SPECIAL CONCERN,15,SK
2012,Mosses,SPECIAL CONCERN,32,PE
2018,Mammals,EXTIRPATED,9,MB
2012,Arthropods,EXTINCT,31,AB
2011,Vascular Plants,EXTINCT,10,QC
2013,Lichens,SPECIAL CONCERN,11,NU
2017,Lichens,EXTINCT,46,BC
2011,Mammals,EXTIRPATED,2,MB
2013,Molluscs,EXTINCT,19,SK
2014,Molluscs,EXTINCT,50,NS
2019,Vascular Plants,SPECIAL CONCERN,34,NS
2016,Vascular Plants,SPECIAL CONCERN,22,QC
